visitor_home_cbgs,latitude,longitude,flow,haversinedistance,poinumber,visitcbg,weights,decayfunction,accessibility
120310101021.0,30.494950000000003,-81.504708,54.0,17837.765610205,11.0,66.36609394500476,0.03505868671157145,91.21739269682661,0.2908051921592606
120310101022.0,30.494884,-81.569316,221.0,19541.55573901163,33.0,272.36347701784933,0.033284061715489345,273.6087984352794,0.27657792730416436
120310101031.0,30.448231,-81.575344,155.0,16255.442976793407,29.0,186.99712479423295,0.04941784481877192,240.72648529148938,0.4107701624843584
120310101032.0,30.421565000000005,-81.498202,82.0,12686.221326075602,14.0,97.69556885649222,0.05160885834996948,116.29861332121958,0.42899954354063846
120310102011.0,30.476613,-81.617056,106.0,11451.842980805375,18.0,128.23433775671,0.03615290041068791,149.9356946184962,0.3019788589466688
120310102012.0,30.45687,-81.61077,162.0,12421.071479029999,30.0,196.16306501936742,0.03235946305169374,249.50389875576474,0.2694902103826262
120310102021.0,30.436528,-81.626571,74.0,8743.790729773784,16.0,92.47818354303038,0.0743991822550526,133.24192093886825,0.6197962354550464
120310102022.0,30.442579,-81.634282,46.0,5491.422813419626,7.0,57.58468388075729,0.03468956860286584,58.45787767780348,0.29061715922813874
120310103011.0,30.51873,-81.702631,164.0,19459.528281497373,33.0,202.28360423706167,0.06918043920556144,273.6655280977252,0.573877424771233
120310103012.0,30.476232,-81.639362,58.0,14489.1795020266,10.0,68.49064724018858,0.05726642745835165,83.24262610343642,0.47856827914019745
120310103031.0,30.448269,-81.68054100000002,134.0,11493.952011507403,28.0,160.2328057507377,0.03216234559428697,233.03963375032387,0.26787505896172326
120310103032.0,30.433221,-81.683839,12.0,2677.047075191018,3.0,13.719973009446694,0.009289081252164315,25.13875394144704,0.07784276416744797
120310103041.0,30.443201,-81.656576,49.0,10544.022258813786,11.0,58.0047799554958,0.025665831838714955,91.66374066653646,0.21399162375242686
120310103042.0,30.450449,-81.662818,70.0,15702.89214354679,16.0,84.38331846983438,0.029218600578197498,132.9150590940407,0.242821061016337
120310103043.0,30.434643000000005,-81.667342,29.0,6485.747448575498,6.0,33.45610181924921,0.015878548561580073,50.311753272622084,0.13318144774017346
120310104011.0,30.425919,-81.688221,62.0,10120.012637769687,14.0,74.51347961277304,0.03067660749805395,116.67890720941824,0.2558811610242652
120310104012.0,30.425688,-81.67556,4.0,1866.050041572918,1.0,4.96,0.006115906288532676,8.384917508489968,0.05128136971900153
120310104021.0,30.408982,-81.660464,46.0,7914.108755490377,10.0,55.31237887396079,0.03809392484432561,83.41277933162115,0.318024398319532
120310104022.0,30.423966999999998,-81.662385,45.0,6835.826657878548,10.0,54.8535862623463,0.0316523867641929,83.5057137284542,0.26431974462694063
120310104023.0,30.425196,-81.669842,18.0,16459.6895004782,4.0,22.012157925134577,0.02858721808459036,33.25277708312711,0.23793863711694363
120310105001.0,30.454805,-81.742521,204.0,16118.812316631607,38.0,244.1617628534512,0.045748878181272476,315.47413172998256,0.38032298430193257
120310105002.0,30.428766,-81.72457700000001,131.0,14480.30474747281,27.0,158.00401708982417,0.03684795174669407,224.3414311821953,0.30670921142694846
120310105003.0,30.430309,-81.704764,41.0,7982.142644390749,10.0,47.26473363702758,0.02152310274910181,83.42898266557035,0.17955205996724485
120310105004.0,30.423274,-81.752845,20.0,7457.693344244795,4.0,25.716007813589613,0.03083454174291321,33.46139169622738,0.2579860390674631
120310105005.0,30.42558,-81.772965,73.0,7982.738318920307,11.0,89.54521890153696,0.050249842256754745,91.67254379163595,0.4195739198214074
120310106001.0,30.382116,-81.843569,144.0,15681.416916963739,27.0,180.93202957428923,0.08834571756557091,224.05093185396888,0.7335004759993181
120310106002.0,30.365425,-81.812504,88.0,11423.008610584357,18.0,110.98509517101519,0.05290042667827226,149.6812506826515,0.4402560741067449
120310106003.0,30.401150000000005,-81.758368,71.0,10100.10634624174,13.0,89.6688673156582,0.0466539372089793,108.20254606510811,0.3889605477352661
120310107001.0,30.404066,-81.743142,20.0,11887.181034945974,5.0,22.9695172116784,0.040798431992323976,41.59348516403764,0.3393779671185643
120310107002.0,30.383503,-81.735074,20.0,8942.796654015208,5.0,24.541512847371834,0.01686701913908717,41.687815768623864,0.14067178067197178
120310107003.0,30.402189000000003,-81.735649,27.0,11715.302960810244,6.0,34.219115266285144,0.023262484885306012,49.97944341475808,0.19389243833772377
120310107004.0,30.385659,-81.726473,24.0,6667.125810396773,6.0,29.007340492626966,0.019586320386648863,50.07081432300276,0.16346609627470676
120310108001.0,30.410468999999996,-81.717335,24.0,5383.3544777033085,6.0,31.763915630208242,0.02332152395756846,50.0528433128795,0.19459480620840172
120310108002.0,30.404316000000005,-81.72648,24.0,6514.073616371724,6.0,29.852884892884894,0.0160845284983216,50.062548260282405,0.13421265208954103
120310108003.0,30.412971,-81.726423,33.0,5283.191534253099,8.0,39.70264384592984,0.022069285072779235,66.7373798573788,0.18410494431587826
120310109001.0,30.41053,-81.70476599999999,28.0,9458.24311778748,7.0,36.2939359509127,0.019897991201158274,58.273108204467015,0.16557121292506222
120310109002.0,30.399610999999997,-81.714014,45.0,7073.456588123916,11.0,58.134437163853775,0.02650909127398713,91.70681381347072,0.22096453084787923
120310110001.0,30.411969,-81.683578,12.0,5098.787552837263,3.0,15.117171717171717,0.013997381219603441,25.068464560705493,0.11703863593251031
120310110002.0,30.405106,-81.681368,16.0,4478.483454386507,4.0,19.15168527644356,0.027556381692724542,33.42755475813443,0.23030648025408035
120310110003.0,30.401655,-81.689028,16.0,6402.363810153849,4.0,22.430388219544845,0.02203378017637018,33.46663084738756,0.1843827346012476
120310110004.0,30.407782000000005,-81.693442,36.0,7490.712445882846,9.0,44.0359584880976,0.036544363890537425,75.01353240529497,0.3046025667799036
120310111001.0,30.397327,-81.673969,37.0,7832.488694547878,8.0,48.316625587454865,0.025618571361322832,66.82565195958281,0.21413828802461543
120310111002.0,30.388782,-81.670195,32.0,6734.523308045061,8.0,38.44987042405309,0.028693933152278424,67.04494253759336,0.24044471342947688
120310112001.0,30.393032,-81.691131,29.0,6100.411903482286,7.0,34.893041103292205,0.0197247264574857,58.43665635226112,0.16467643836808585
120310112002.0,30.386704,-81.691599,8.0,2645.951598502824,2.0,11.285561497326203,0.011184897420541332,16.753260751448693,0.0936665201279841
