visitor_home_cbgs,latitude,longitude,flow,haversinedistance,poinumber,visitcbg,weights,decayfunction,accessibility
120310001001.0,30.386555,-81.649856,33.0,4532.766137186033,8.0,39.84608463740164,0.029277064391918912,66.48334535455895,0.243480181553479
120310001002.0,30.374733,-81.645276,30.0,7343.817495612993,7.0,49.26679210481939,0.040615657135053086,57.97005718756917,0.3371677868524483
120310001003.0,30.383022,-81.645184,35.0,10859.396121087335,8.0,43.81093817702226,0.03316497969494493,66.29060618905058,0.27529346094189433
120310001004.0,30.370856,-81.654108,8.0,5319.479365013702,2.0,8.432748538011696,0.010488493206482208,16.556980203216963,0.08682873652851017
120310001005.0,30.380986,-81.654222,17.0,2245.8618626206703,4.0,20.679476516914942,0.026376883312391505,33.36092803810262,0.21982677198369643
120310002001.0,30.360977,-81.630635,8.0,2391.6285063311716,2.0,9.242193262847309,0.014600621268321182,16.62612334618808,0.12137646336796636
120310002002.0,30.359936,-81.635439,16.0,8586.60150634672,4.0,18.4961398279232,0.018404119231764382,33.05320438102608,0.15205464546424893
120310002003.0,30.359724,-81.64393499999998,29.0,10104.361479445155,7.0,35.03892841033611,0.04083791190015864,57.7782510742936,0.33708212728127873
120310003001.0,30.347605,-81.63665,8.0,7249.55821704183,2.0,10.656313616006514,0.010295955184547356,16.56416554993354,0.08525834690414794
120310003002.0,30.352403,-81.641477,6.0,2670.508332159219,1.0,7.517241379310344,0.01036860879904875,8.307893113694046,0.0861412936402046
120310003003.0,30.351711,-81.633288,4.0,9928.694217052913,1.0,4.317460317460317,0.0066937369262950654,8.251315383470365,0.05523213447284211
120310006001.0,30.309115,-81.639355,4.0,786.7276830346268,1.0,4.560509554140127,0.0041197014942548574,8.36904590334351,0.03447797091349175
120310006002.0,30.295204,-81.637628,25.0,6294.1477115571515,6.0,29.921801674621225,0.024306906315695553,49.74876154640219,0.20158268940937726
120310006003.0,30.295344,-81.631779,32.0,4633.246113272963,8.0,42.397649961930824,0.04823395900105896,66.55875718255349,0.40141800896915175
120310006004.0,30.303465,-81.638584,17.0,3594.7525534177357,4.0,21.683372802003376,0.034527663697457606,33.28314094638884,0.28745540902755157
120310006005.0,30.301221,-81.630971,12.0,7154.167943005489,3.0,17.370759356505793,0.01718175999654381,24.926703750553525,0.1430163586814293
120310007001.0,30.302474,-81.653114,20.0,7691.878432046277,5.0,23.973625679212567,0.01878810789906941,41.44191916716566,0.1557149546036269
120310007002.0,30.289726,-81.653311,28.0,6689.7539554009,7.0,33.47112764401835,0.028510330190816315,58.01837155868013,0.23633323185952004
120310007003.0,30.292256,-81.643225,12.0,1603.3930991698,3.0,13.71652173070025,0.007833536111193747,24.998045871605626,0.06527566463638822
120310008001.0,30.313216,-81.656182,16.0,5065.054821584145,3.0,22.93432122889866,0.012525571397541594,24.94336347627604,0.10432364451412487
120310008002.0,30.310058,-81.662086,8.0,2586.7764202446347,2.0,8.981562185719074,0.011514823315024455,16.6300456585607,0.09575000098636091
120310010001.0,30.334294,-81.652785,16.0,5691.0740054251255,4.0,19.32651256789188,0.029416305278374244,33.224933089435524,0.2444518261618017
120310010002.0,30.326035,-81.650396,8.0,1770.0675263864307,2.0,10.344827586206897,0.0021769418321142455,16.672891106261396,0.01814598925263499
120310011001.0,30.339443,-81.649655,8.0,4144.366675127329,2.0,8.430426716141003,0.008883484421644891,16.576463214793165,0.07362943779605152
120310011002.0,30.340931,-81.657095,8.0,14726.9168877904,2.0,10.069835313737752,0.013626299477317663,16.471976260245313,0.11222668480053347
120310012001.0,30.347009,-81.65536,12.0,13829.270191498816,3.0,14.5,0.02575488454706927,24.719747677243937,0.21225021712047545
120310012002.0,30.347,-81.658822,16.0,7398.5281877216385,4.0,19.717138669515684,0.03149702662861931,33.123581619250295,0.260890374861027
120310012003.0,30.346241,-81.649521,34.0,11849.82663111086,8.0,40.23533137821647,0.04739143860802882,65.95726677826744,0.39072581481253077
120310013001.0,30.361354,-81.653382,8.0,896.8705294609109,2.0,9.47804576376005,0.013109330240332019,16.736735078022768,0.10973228437877729
120310013002.0,30.360035,-81.66542,33.0,4271.830334124681,8.0,43.87866060178797,0.027561972739816566,66.5061498335954,0.22919144137338332
120310013004.0,30.358311000000004,-81.657595,25.0,8063.115976433379,5.0,30.96482791445781,0.03283650892307297,41.56521160609142,0.2739029346849098
120310014002.0,30.381622000000004,-81.660232,25.0,11552.355914948841,6.0,31.302984336427308,0.03691389662314541,49.58766551900142,0.3050155510056878
120310014003.0,30.374363,-81.660329,20.0,6882.283854939454,5.0,25.21889360275547,0.04093976234213551,41.412584791551865,0.33919570940721216
120310014005.0,30.365521,-81.662998,8.0,525.2709916577744,2.0,9.464277180406214,0.01342450663887406,16.79356100332466,0.11268280779267467
120310014006.0,30.375101,-81.674057,8.0,5517.126445799717,2.0,9.5461233729485,0.005576006643077395,16.598338453223782,0.046276160005770395
120310015001.0,30.358064,-81.672253,8.0,1918.6985066264597,2.0,10.088058856819469,0.017011903637132324,16.674017168152602,0.14186152138831648
120310015002.0,30.362539,-81.673534,29.0,8611.335569631923,6.0,38.21327274352097,0.03071806490636734,49.783102116957224,0.25565368674490563
120310015004.0,30.349672,-81.672034,9.0,1891.947867485772,2.0,11.865800865800864,0.020145672098133897,16.648512699741225,0.16769685825962216
120310015005.0,30.352775999999995,-81.664727,12.0,9165.492443288776,3.0,15.315641073309784,0.01287028661622671,24.800640353078258,0.10644728105628946
120310016002.0,30.344842,-81.672092,20.0,3923.9454729302174,5.0,25.960429176558208,0.03411357316236296,41.557656222048,0.2837144907099659
120310021011.0,30.307887,-81.700476,8.0,5358.011260136576,2.0,9.692101740294511,0.01093916674976807,16.637466149998325,0.09090383985389919
120310021012.0,30.312216,-81.701141,22.0,4379.971083845988,5.0,26.764461496725186,0.018612281986596098,41.509677714071366,0.1544254014068534
120310021013.0,30.305736,-81.707692,8.0,1426.4245103128405,2.0,8.828779599271403,0.014641425537763519,16.705062817800425,0.12226870671494279
120310021021.0,30.306512,-81.693831,4.0,1407.9367968345452,1.0,4.755905511811024,0.004415882555070589,8.338822506114894,0.03682326083458277
120310021022.0,30.302303,-81.699177,17.0,6144.326027220659,4.0,19.415299621832034,0.01268144978565123,33.24165165884833,0.10540510471607228
120310022001.0,30.293095,-81.705787,4.0,5835.320028132755,1.0,4.560509554140127,0.004919643531974247,8.273163760179935,0.04070101658173296
120310022002.0,30.303809,-81.711783,8.0,1165.4305067017585,2.0,9.406557377049179,0.011922125953167528,16.732673286134478,0.09975520110306291
120310022003.0,30.301237000000004,-81.715541,21.0,2729.053133033289,5.0,26.466469734630248,0.03655589742352244,41.69762887638629,0.30498407651224213
120310022004.0,30.293907,-81.714556,16.0,2217.0245932896496,4.0,18.88455538107458,0.017985290839118647,33.31770900923084,0.14980409622170796
120310022005.0,30.298173,-81.707316,29.0,2703.7735155793443,7.0,35.803222299428384,0.03631158448217889,58.257453761688915,0.30225142612518724
120310023002.0,30.285012,-81.716796,18.0,5444.087363407261,4.0,21.26321745121322,0.019312640736796748,33.328641554927614,0.16106230607857364
120310024001.0,30.275599,-81.702803,11.0,2026.4492181134706,2.0,13.160376508737164,0.018614393930321306,16.642019183212113,0.15488040224365754
120310024002.0,30.267102,-81.710469,9.0,2468.42459274468,1.0,10.364754098360654,0.008881537359349318,8.311570205845682,0.07381952129807312
120310025011.0,30.315464,-81.707974,16.0,9642.68109343481,4.0,19.736659417865507,0.02064504123207689,33.08320495672572,0.17069476556868574
120310025012.0,30.315705,-81.711752,20.0,3660.5071156927575,5.0,24.89827624071598,0.020441934516187175,41.533894913627876,0.16977424034078153
120310025013.0,30.313032,-81.715332,4.0,3707.117340706748,1.0,5.333333333333333,0.005860805860805861,8.29292929920003,0.04860324864000017
120310025014.0,30.317698,-81.702312,5.0,18316.898304203198,1.0,5.845070422535211,0.009442763202803248,8.227784803610195,0.0776930235841141
120310025021.0,30.309378,-81.726375,8.0,9418.59747037754,2.0,9.53624060150376,0.008545018460128817,16.596034923523423,0.07083711598555748
120310025022.0,30.315018999999996,-81.725484,24.0,3371.693327921354,6.0,27.70832681756513,0.027352741182196574,49.98593948333345,0.22790049531719841
120310025023.0,30.309445,-81.718985,4.0,1294.5942782692025,1.0,4.2105263157894735,0.006438113632705617,8.34305377138514,0.05371352822395068
120310025024.0,30.317159,-81.717711,12.0,7371.829213117658,3.0,14.63216192896952,0.02282708569262016,24.847858159555862,0.18905261892871064
120310026001.0,30.325041,-81.691623,35.0,4182.7238893343165,8.0,44.46691710998254,0.044735329084489475,66.50792788352882,0.3720036384497271
120310026002.0,30.329238,-81.699439,12.0,10923.505722637788,3.0,13.883500557413601,0.0175518338273244,24.809268328505134,0.14520356294063558
120310026003.0,30.324627000000003,-81.703515,25.0,8206.291855321144,6.0,28.856193586447134,0.022473671017482193,49.622220729559466,0.18598021851943056
120310026004.0,30.324844,-81.712522,8.0,12807.07955687065,2.0,10.30967651327185,0.01420065635436894,16.49209380706879,0.11711714802266605
120310027011.0,30.345905999999996,-81.712773,28.0,9049.624445434147,7.0,35.54557643025085,0.030354890205167247,57.88412281802776,0.2510732328222047
120310027012.0,30.336545,-81.695345,20.0,5667.0353070955225,5.0,28.5315405498989,0.02911381688765194,41.44247307722042,0.24136000935061225
120310027013.0,30.347647,-81.718509,12.0,6333.20018002813,3.0,14.49642857142857,0.01140552995391705,24.843579325284523,0.09443587720032334
120310027021.0,30.334504,-81.705142,12.0,6988.837598869414,3.0,14.531439344875725,0.022017332340720792,24.879816679124275,0.18255635668273135
120310027022.0,30.333518,-81.716547,32.0,6294.121060555852,8.0,42.27737377493017,0.027083519394574096,66.27138992145905,0.22436206895160246
120310027023.0,30.34025,-81.718446,10.0,4596.651134161493,2.0,14.771929824561404,0.010491427432216906,16.576104490082404,0.08702563606469142
120310028011.0,30.351589,-81.692738,18.0,5178.692827433946,4.0,23.076367119470568,0.013479186401559911,33.188140970035676,0.11205013845773382
120310028012.0,30.360439,-81.696683,17.0,5944.488757743375,4.0,21.92002091982782,0.014364364954015609,33.11692918623967,0.11890231018766073
120310028013.0,30.359359,-81.706303,4.0,14764.648518444086,1.0,4.804878048780488,0.005063095941812948,8.2358751295497,0.041699025945701275
