visitor_home_cbgs,latitude,longitude,flow,haversinedistance,poinumber,visitcbg,weights,decayfunction,accessibility
120310001001.0,30.386555,-81.649856,54.0,10392.99242722951,12.0,70.55288159648903,0.05183900190778033,98.77950830857439,0.4276326846976427
120310001002.0,30.374733,-81.645276,28.0,7125.975011001915,7.0,39.26479542536676,0.03236998798463872,57.68725684812063,0.26687940888454253
120310001003.0,30.383022,-81.645184,12.0,3202.309361874178,3.0,17.64089614089614,0.013354198441253701,24.93054386491373,0.11105838155390929
120310001004.0,30.370856,-81.654108,12.0,5086.596714168601,3.0,15.958595411557084,0.01984899926810583,24.782961250622108,0.16403394797021653
120310001005.0,30.380986,-81.654222,4.0,6952.238240013952,1.0,5.131578947368421,0.006545381310418904,8.222285557275953,0.05381799421552131
120310002001.0,30.360977,-81.630635,4.0,8096.937349901804,1.0,5.035460992907802,0.007954914680739023,8.21600868440424,0.06535764810064659
120310002003.0,30.359724,-81.643935,16.0,7150.7405892036895,4.0,19.37785997589919,0.022584918386828894,32.978057784203315,0.18616640379945681
120310003001.0,30.347605,-81.63665,4.0,6361.151043524598,1.0,4.48,0.004328502415458938,8.225996880140784,0.03560624736524707
120310003002.0,30.352403,-81.641477,8.0,7797.182825191265,2.0,9.25749368002889,0.012768956800039848,16.43754029878431,0.1049589318557481
120310003003.0,30.351711,-81.633288,4.0,2948.1469276604344,1.0,4.195121951219512,0.0065040650406504065,8.259790909946743,0.05372221730046662
120310006001.0,30.309115,-81.639355,21.0,6376.006009463022,4.0,26.708558823640363,0.024126972740415868,33.027319014391864,0.19952968207695967
120310006002.0,30.295204,-81.637628,28.0,966.8574037844311,6.0,34.38685764428541,0.027934084195195302,49.9173106866972,0.23252311890802832
120310006003.0,30.295344,-81.631779,12.0,7454.210046001109,3.0,15.090645901966656,0.017167970309404614,24.732923397653195,0.1416525835186072
120310006004.0,30.303465,-81.638584,16.0,1411.9719375690993,4.0,21.00150105322519,0.033441880658001896,33.20397753400211,0.2776641128418072
120310006005.0,30.301221000000005,-81.630971,20.0,5883.053165805203,5.0,25.071043362756978,0.02479826247552619,41.3418043196137,0.20517758848659226
120310007001.0,30.302474,-81.653114,8.0,1518.909683125466,2.0,9.36645525017618,0.007340482170984467,16.598225867064425,0.0609149616272454
120310007002.0,30.289726,-81.653311,8.0,903.080323538464,2.0,9.622697674418603,0.008196505685194722,16.636422900933546,0.06818016971847582
120310007003.0,30.292256,-81.643225,22.0,12491.692030352166,5.0,25.236540652906793,0.014412644576188917,41.08865623930773,0.11837702764267174
120310008001.0,30.313216,-81.656182,26.0,11975.424717789927,5.0,30.063729877342148,0.016419295399968406,41.242435871220806,0.13567450830672861
120310008002.0,30.310058,-81.662086,8.0,6660.491076046782,2.0,9.720781113378024,0.012462539888946184,16.448607869650534,0.10248943948938236
120310010001.0,30.334294,-81.652785,4.0,2515.6682627778505,1.0,5.63265306122449,0.008573292330630882,8.26715030865064,0.07087669633732727
120310010003.0,30.330822,-81.653797,12.0,3430.202339367887,3.0,14.220987654320988,0.021068129858253314,24.869675530835387,0.1747247335113101
120310011001.0,30.339443,-81.649655,8.0,6283.5559436836775,2.0,8.742857142857144,0.009212705103116062,16.45749608538775,0.07581060874276896
120310012001.0,30.347009,-81.65536,8.0,8515.693485334523,2.0,8.883391405342625,0.015778670346967363,16.42809098872033,0.12960556682992713
120310012002.0,30.347,-81.658822,4.0,1454.4610286708064,1.0,4.4,0.007028753993610224,8.293650101339509,0.05829402627139591
120310012003.0,30.346241,-81.649521,4.0,7200.119601177876,1.0,4.832,0.005691401648998822,8.22083285854086,0.04678806168724315
120310013001.0,30.361354,-81.653382,17.0,2604.468050942699,4.0,20.974669867947178,0.029010608392734685,33.17085650631512,0.24055012710308954
120310013002.0,30.360035,-81.66542,25.0,6406.353096353842,6.0,31.09359761482434,0.019531154280668556,49.5126154013251,0.16114490046354157
120310013004.0,30.358310999999997,-81.657595,29.0,3384.2148659207437,7.0,38.709197912996245,0.04104899036372879,58.0871321093476,0.3405584144571884
120310014002.0,30.381622,-81.660232,4.0,1496.8915590188171,1.0,4.88135593220339,0.005756315957787017,8.29221648359532,0.047732618069944284
120310014003.0,30.374363,-81.660329,20.0,5764.517346898762,5.0,26.20338407288987,0.04253796115728876,41.27270812210102,0.35145084994746095
120310014004.0,30.367017,-81.65945,12.0,7714.655696784714,3.0,14.059540830457598,0.01854820690033984,24.73876055282787,0.1529439315178855
120310014005.0,30.365521,-81.662998,12.0,5768.349051071258,3.0,16.025071225071223,0.02273059748237053,24.71282326157462,0.187387695840926
120310014006.0,30.375101,-81.674057,27.0,5379.75486306006,6.0,33.09207313154681,0.019329481969361458,49.580757058772434,0.15981504140078404
120310015001.0,30.358064,-81.672253,12.0,2880.2880097942148,3.0,13.922047121235764,0.023477313863803986,24.840059318435507,0.19444206719730472
120310015002.0,30.362539,-81.673534,21.0,4862.187155801669,4.0,25.832082859669065,0.020765339919348126,33.069458866000794,0.1722130170149716
120310015003.0,30.353685,-81.672358,4.0,8790.706231355167,1.0,5.310344827586207,0.015259611573523584,8.21266964333948,0.12532214873902892
120310015004.0,30.349672,-81.672034,4.0,4108.175424818629,1.0,4.108108108108108,0.006974716652136006,8.244834916450891,0.05750538738588241
120310015005.0,30.352775999999995,-81.664727,12.0,8468.507886636415,3.0,15.126484781983404,0.012711331749565884,24.652723465071,0.10445008536272463
120310016001.0,30.342189,-81.665157,4.0,18590.560283244784,1.0,4.43956043956044,0.006676030736181112,8.183690805726831,0.0546345713544351
120310016002.0,30.344842,-81.672092,14.0,12412.040127072432,3.0,15.917582417582418,0.02091666546331461,24.60341968915313,0.1715526622523112
120310021011.0,30.307887,-81.700476,8.0,1742.0527903005818,2.0,9.001538123489343,0.010159749575044405,16.60370597498349,0.08433833314933617
120310021012.0,30.312215999999996,-81.701141,12.0,8607.831086774579,3.0,13.206526806526806,0.009183954663787765,24.668947517517275,0.07552632601588005
120310021021.0,30.306512,-81.693831,4.0,2285.9007219031337,1.0,5.131578947368421,0.004764697258466501,8.271660468861816,0.039411957958951624
120310021022.0,30.302303,-81.699177,13.0,3392.380304460039,3.0,15.43195013947391,0.010079653912131881,24.799825221735944,0.0833008892179297
120310022001.0,30.293095,-81.705787,5.0,4166.130780206736,1.0,6.4144736842105265,0.006919604837336059,8.244216216373816,0.057046718410864644
120310022002.0,30.303809,-81.711783,4.0,5402.833741768383,1.0,4.75,0.006020278833967047,8.23291900715459,0.049564468040537775
120310022003.0,30.301237,-81.715541,8.0,1851.289314323626,2.0,9.966696052502694,0.013766154768650129,16.564911870717182,0.1140087193562121
120310022005.0,30.298173000000002,-81.707316,13.0,3338.8975021939664,3.0,15.64296106118956,0.015865072070171966,24.775219408207864,0.13104263828469637
120310023001.0,30.283103999999998,-81.712058,12.0,2400.4756749171147,3.0,15.098274999871116,0.02431284218980856,24.870094912126323,0.20154221797757305
120310023002.0,30.285012,-81.716796,19.0,586.0451110636484,2.0,21.70557491289199,0.01971441863114622,16.687829638721894,0.16467164234442103
120310024001.0,30.275599,-81.702803,12.0,6055.729251187508,3.0,15.03336271916936,0.02126359649104577,24.749002351576046,0.17541388244518277
120310024002.0,30.267102,-81.710469,16.0,3232.700289604717,4.0,19.39783377705359,0.0166219655330365,33.0426394819536,0.1373079227798195
120310025011.0,30.315464000000002,-81.707974,12.0,1550.6040442535614,3.0,14.559279473440892,0.015229371834143194,24.894819669387676,0.12635254097233464
120310025012.0,30.315705,-81.711752,8.0,12301.106159072335,2.0,8.626373626373626,0.007082408560241072,16.39929807967679,0.05807169368966643
120310025014.0,30.317698,-81.702312,16.0,6328.686529683558,4.0,21.00830402076729,0.033939101810609516,32.97262678430133,0.27974309372105216
120310025022.0,30.315018999999996,-81.725484,24.0,2919.6412577737065,6.0,28.49029568880851,0.02812467491491462,49.68160093564008,0.2328268743658672
120310025023.0,30.309445,-81.718985,10.0,6148.418003118804,2.0,13.387088047220857,0.020469553589022714,16.46007813640918,0.16850888107390982
120310025024.0,30.317159,-81.717711,8.0,3212.923613933662,2.0,10.28650852483321,0.01604759520254791,16.513677110347924,0.13250272977176544
120310026001.0,30.325041,-81.691623,24.0,3860.5055498435245,6.0,29.614128010649416,0.02979288532258493,49.67970908446804,0.24675625601361553
120310026002.0,30.329238,-81.699439,12.0,7033.369883235162,3.0,13.916426903667997,0.017593460055206067,24.713741020124804,0.14498711768766273
