visitor_home_cbgs,change_0624-0701,change_0701-0708,change_0708-0715,change_0715-0722,change_0722-0729,change_0729-0805,change_0805-0812,change_0812-0819,change_0819-0826,change_0826-0902,change_0902-0909,change_0909-0916,change_0916-0923,change_0923-0930,change_0930-1007,change_1007-1014,change_1014-1021,change_1021-1028,change_1028-1104,change_1104-1111,change_1111-1118,change_1118-1125,change_1125-1202
120310001001.0,-0.17561567694892605,0.25260097310767227,-0.27824487831286737,0.0005614186301393554,-0.0892722950576283,0.4060290927410703,0.14971055579881304,0.24380390995793694,0.14939053523239448,0.7788830244346976,-0.18081882246417888,0.00813492601698472,0.3485307070612464,0.030907132316964864,0.3455082895446287,-0.19945263535662505,0.03554811716776937,-0.2623258256756064,-0.11009155493150448,0.5888653701523984,0.502870604753058,0.909664323734306,0.9253993186358604
120310001002.0,0.010147714708066235,-0.0672267929574113,-0.24630584347114604,0.2948104504376505,0.21717054187267568,-0.12836953182971564,0.017395786476424833,-0.5631645935861584,-0.022048822796337332,0.10294612754530097,0.3306134620936074,0.37026594121060796,-0.16319026902143066,-0.38532910244525437,-0.5104789912626827,0.10119292130656349,-0.30598971504936534,-0.237171005441403,-0.5554423263320505,-0.10600260339167368,-0.06688385590499461,0.11494731994101587,-0.3281888934891647
120310001003.0,-0.2851485103054768,-0.2662694475514867,0.7051469898237591,0.5891574485509069,0.5478893447447936,-0.504937423379253,-0.3709062670283725,-0.44101111342567384,-0.086200809932317,0.32207645891410264,-0.1979746247615516,-0.5801162345452034,0.8162199351257026,-0.01235280238982406,-0.45909711064725756,0.2271697839805223,-0.36238452894476586,-0.10228678421733083,-0.09449261308789392,0.31119984849185167,-0.03359064284550331,-0.5559012653534819,-0.36135812753794055
120310006002.0,0.18519123329637327,0.07346580281889334,0.34256750777730727,-0.04717692735651145,-0.3922334266419471,-0.2963541430323939,-0.42761730808629383,0.14341276962534094,0.18566416049300558,-0.042324219849270366,-0.3742808514372169,-0.36364395442647596,0.1569306496780554,-0.1833828247021938,-0.187185085371898,-0.3899839942565014,-0.25768744740015626,-0.36787790193714454,-0.05328167805613282,-0.39879493812098904,-0.6707066301913996,-0.5055955722306922,-0.8965057240618076
120310006003.0,-0.6175253892546743,-0.5620301436738216,0.049952827948274124,0.1284551911493382,-0.12227948766639127,-0.33515940353266466,0.49189012123253595,0.14294943309524336,-0.10386356602034237,0.3690757660474492,-0.34299164457114983,0.38828480724644027,1.4139794569495716,-0.24380864194595347,0.32773114604286274,0.8840389768162913,0.39877879202105293,-0.23777920943247352,1.926085578893085,-0.2390221432389225,-0.0016325933355186434,0.3962622847419804,0.8463661765716074
120310006004.0,-0.4218512371564591,0.09656185088735107,0.4151420201285227,-0.2783712201414812,0.4812032392730885,-0.004729503481560115,-0.05349435857542284,0.20836140225879704,0.17821432617252292,0.5491289321936125,-0.2922898454423046,0.2928526625751402,0.1592308486048865,0.9757466495019793,0.007648297583985074,0.030366815292255767,-0.051782539540185205,-0.06826766230233482,-0.2411836675301695,0.16987649923024079,-0.8030979419106914,0.4028053073026914,-0.7445962630368824
120310006005.0,0.008540819710340394,0.12808637959686744,0.06522288380005246,-0.5555004671426469,-0.32747737622695117,0.13359998153135388,-0.05244570194364532,-0.09745736567476042,0.057461544003870664,-0.21912306831107742,-0.3409803105066077,0.22390325718814758,0.10984166219714428,0.17729825913743097,-0.5525598561456031,-0.20983893632932493,1.002749774370503,1.4913331274648138,-0.5812982837120285,-0.2767097204026332,-0.37403572843159505,-0.26588642800110224,-0.7456127866700873
120310007001.0,0.16478285342768081,0.16821725896614342,0.06844385104453256,-0.5765332684890255,-0.00911155050685556,-0.4340368833414194,0.5470421099713209,0.558115411004027,-0.10335363253778714,0.5991853644917577,-0.7116323876516096,-0.5705138014981778,-0.03709135665723483,-0.7079047142928101,-0.3931874536242712,0.44675328792131586,0.4455197405999006,-0.40140532865246553,-0.022504184482446708,-0.6930103467536498,-0.4687243724240696,-0.7402068935900814,-0.3626003616386054
120310007002.0,0.13191514312306177,0.7263858004908816,0.233509245621519,0.22374200655190607,-0.6650870323995821,-0.4046669261474404,-0.6885223358458278,0.2527805532941421,0.5388131867463967,0.23194054685014132,0.4464741137940139,-0.36117214570909156,0.873388686339486,0.5413838776910622,0.8220154750431199,1.0636057369377732,0.5356793828642544,1.0817741094861728,-0.41367863595061083,0.41966811635412643,-0.32348503307095766,0.49576580304088025,0.22252171374036395
120310007003.0,0.19112355998467137,-0.41078666629348615,-0.26293160359432083,0.27861332537231925,-0.5881936115648508,-0.26004511682732634,0.38322659874168186,0.07179094890459002,-0.05159531635016956,0.6206207811997084,-0.15873991067977317,0.7734392380325408,0.16613033521046944,0.19117406567124956,0.3663588252265539,-0.5919728028157886,-0.2884862543288481,-0.4182242076944072,-0.21079627754795563,0.2844643314105975,-0.15328774197930897,-0.08991683325795548,0.20171448218209254
